sample,D_angle,D_position,bottom_internal_pull_strength,bottom_morse_cutoff,bottom_morse_u0,bottom_morse_v0,bottom_morse_xi1,bottom_morse_xi2,cil_intensity,cil_wall_intensity,run_speed_min,run_to_tumble_rate_max,run_to_tumble_rate_min,theta_alignment,top_internal_pull_strength,top_morse_cutoff,top_morse_u0,top_morse_v0,top_morse_xi1,top_morse_xi2,tumble_to_run_rate_max,tumble_to_run_rate_min,cohesion_rg,penetration,front_x,pareto
14,0.0558944997236121,0.0639010086574225,1.988541533147274,67.17258390309826,17.361905683726825,9.277801978537498,19.809296276307194,48.25577193801318,0.03887791692671839,0.024617286261641284,54.3663066075487,0.9014494968737518,0.13853431336451755,1.582787271601621,3.966436730768658,35.481474094692054,117.95999007180481,5.45364483947385,13.285466400120788,29.037374993787694,1.6802232943565736,0.9485792925841037,NaN,NaN,NaN,false
15,0.2235239136031765,0.10805463203962636,1.2333739148904983,90.92398767323027,15.078789650535175,14.395811314360374,3.8780949999270997,76.42993539863018,0.07523360764136561,0.044651777553913335,37.71420658501566,0.7995715304974778,0.030801923516411017,0.7147632496821908,0.2078493056231352,96.89688979121098,82.62837560739997,36.83376792096928,6.851171241725765,87.95311606236953,2.882694717410794,1.7079169194703985,11.318013635559605,2.058157952050408,119.88692451472687,false
16,0.18057275878753057,0.05140163557515186,3.2961179751872534,93.89344257437017,23.347609529913168,7.574922924290202,7.074381520202476,43.491083597925666,0.014613591737923067,0.06891586564678347,17.241705987234127,1.1465103840825752,0.023763993218645453,6.744771914935801,3.7604688839840734,77.21400921959743,61.28875520018654,15.633980944723303,8.010343023635054,40.36949986532824,1.5766411665478928,1.0694824463721027,23.648388535863276,-0.9360520435184867,123.86191242443999,false
17,0.1802631107727188,0.03376882142105717,0.24253865469364877,95.79981880825729,20.250341183751008,8.032039772076251,18.00472169501721,72.32415534040436,0.0729749082189232,0.042865666477995924,47.237861674661396,0.7491263568813199,0.05928359349819268,0.6553378659155031,0.04771169156459054,33.430571786665,82.60428658943114,40.04317898354218,8.330910643902296,71.89235403503227,3.894370492178382,0.39121348977432646,37.44317244503615,16.242201029822198,161.3355920006723,false
18,0.026051772280421326,0.0615254348331411,0.06703330359026571,37.94497030532058,8.733115185449048,2.9161517786994064,15.24947211188661,93.71699498355093,0.047843752951406984,0.012927241142952984,51.258499896218076,0.6327812390140638,0.08364652070899428,6.311598507586627,2.419271833264668,48.62499459350018,53.12580003746271,36.56940817966496,13.77331400016802,83.38968361755207,2.0202907090487074,0.32848882560855175,340.47430807935575,483.56088367979874,994.4951875234873,false
19,0.248735618400602,0.08037716714526076,1.9896957168898015,70.84331231885025,4.893052097060156,8.311543753217014,18.281138906033885,73.23497040043249,0.024836664298143525,0.05649143485963186,32.52248124587799,0.32341786004953654,0.04237919322074207,5.932378387532539,3.439066857483222,67.57792161489823,96.35108846432651,14.625643985409333,3.592036292780276,67.77623202754212,3.458832252905307,1.3109602202893573,43.38439733004032,1.5124910393698272,143.09940404139152,false
20,0.022712779634403657,0.04041410933642759,3.42818908526804,33.122445601098676,12.989900342443427,8.029909069233694,24.301547955490417,56.581106479238514,0.029921648397168443,0.062314203024107506,51.696157055664685,0.927037061106439,0.1664498877131531,1.963873450270826,0.8024775785926486,44.733308271563494,37.150007743932164,18.07324721740264,8.022683429892417,73.35401301832346,2.404271105018073,1.551684859980327,25.043208664254763,12.22413771126623,145.35845317799428,false
21,0.1987100023582651,0.0875784059542974,0.793013111653297,71.51923203589996,15.089463909293684,17.56389558457161,17.73145973997458,36.51612126557825,0.061515291375592744,0.07569712259286358,33.151112798620595,1.0796086968175815,0.010090443293975092,0.4286688266773302,2.7910155410096316,99.35194966459326,55.229115748024576,9.36653564261541,13.16331802903883,40.01173397048577,1.1235196857475795,0.8773507346814318,42.217583145537034,-2.5430378838671643,135.06202255177476,false
22,0.2191098335621404,0.05728091815227539,0.04922811528963056,31.58622206606222,10.68314717586401,4.197717303838242,10.697625912448082,36.16030302258653,0.023599381029137688,0.023835238044263747,62.992637840211216,0.7386165485615377,0.12243109757249053,4.552800157864294,2.45509307470073,49.497352955789836,119.43237498211649,23.451326491296168,11.780178006546599,59.98524576089367,2.6435973849949317,1.5309784030686384,337.8464914433318,521.6542002254748,994.1615868601973,false
23,0.09988980356165136,0.07514736090124195,3.94847994216367,90.85856067608977,25.83574447402702,5.406288842740501,21.61753655007808,64.2891944619336,0.0765116483908063,0.008640613434637921,28.49425986404467,0.8898627449256922,0.1635618921678064,0.07004129747880927,0.3155064466186044,39.09523588603557,52.916699263168546,24.637169610794047,14.558101497339816,48.37905553641786,3.02404328785038,1.312917067827978,55.65265363867878,5.659638027458271,189.56262038890588,false
