time,cell_id,bottom_x,bottom_y,top_x,top_y
300,1,631.2101661082937,904.9737588535838,630.7003343236325,894.982559096787
301,1,631.2132418885109,904.9873523610934,630.619405160143,895.0113278073794
302,1,631.2103436073199,904.997779986932,630.5379361749409,895.038726791224
303,1,631.2092263478464,905.0111390738936,630.4555639710983,895.0511595273504
304,1,631.2038810038556,905.0194638076593,630.3751769083735,895.0686411927873
305,1,631.1937266314404,905.0299512036801,630.2882960553455,895.082164422043
306,1,631.187371767683,905.046135343531,630.2056987014383,895.1031949096516
307,1,631.1903871158839,905.0635747575355,630.1193701724961,895.1310312315787
308,1,631.1903387793776,905.0843665295147,630.0299722421865,895.1615419218332
309,1,631.2040382644548,905.1081684590587,629.9415797461883,895.1915665061728
310,1,631.2226853985165,905.1309919901685,629.8585823825531,895.2242933024164
311,1,631.244431604084,905.1503271451925,629.7708593143998,895.2628526776164
312,1,631.2650285312031,905.1768110343329,629.6799105098041,895.2973432527488
313,1,631.2858656923784,905.196228853208,629.5885777654955,895.3379658798344
314,1,631.3071792308123,905.2146086802879,629.4962552756035,895.3739157124259
315,1,631.3282351043337,905.2348143315185,629.4040071489327,895.4060877406487
316,1,631.3508376951336,905.2452998710596,629.3100691167275,895.4481619647315
317,1,631.3708831688881,905.2528366939566,629.2224032288755,895.494634933554
318,1,631.3933907135124,905.2637140250924,629.1319376575902,895.5271404801507
319,1,631.4284914011992,905.266710972966,629.0404583877297,895.5657670874393
320,1,631.4665194942162,905.2758029396557,628.9523570843149,895.6038600582709
321,1,631.5000266263975,905.2770641013913,628.8613436514053,895.6522247451542
322,1,631.5376250567246,905.2854354745527,628.7667279522527,895.6951537176409
323,1,631.5754884047778,905.2960975104127,628.6794035716898,895.7307299199032
324,1,631.6127867334671,905.2965752469404,628.5956243941961,895.7658273797642
325,1,631.6489698917844,905.2917206516823,628.5158985608666,895.8068318380354
326,1,631.6850009767206,905.2882062617506,628.4372522257494,895.8436075283216
327,1,631.7243844964756,905.2776337915129,628.3580683490192,895.8819989503065
328,1,631.7716811320358,905.2690210750029,628.277799746235,895.9221022743301
329,1,631.8058402229718,905.2720704017397,628.199493054903,895.9651082666122
330,1,631.8351507211827,905.2721098657403,628.1186277716197,896.0088801725942
331,1,631.8724949869767,905.2755757267802,628.0359895027974,896.0507941988898
332,1,631.914381404077,905.2782014735328,627.9505863328551,896.1025353501262
333,1,631.9570027184321,905.2814353774595,627.8710109612088,896.1495890928284
334,1,631.9997593994641,905.2795330171291,627.7902530968503,896.1952026979925
335,1,632.0496378087054,905.2742602653055,627.7126260573758,896.2381628914334
336,1,632.1044393332562,905.2632925474421,627.6349240717262,896.2869710033059
337,1,632.1567536635572,905.24590561538,627.5572802445748,896.3470809359899
338,1,632.2103089289382,905.2312827734261,627.4835421899202,896.4129476503938
339,1,632.2617943203901,905.2190810596838,627.412976640786,896.4657479444114
340,1,632.313589500202,905.2087271373475,627.3392391462268,896.5169582045693
341,1,632.3614452621089,905.2023777528963,627.2646716439157,896.5680396659426
342,1,632.4069184456087,905.1984911159678,627.1951644533615,896.6211572238954
343,1,632.4593346117443,905.1940864806044,627.1363848707883,896.6829806160929
344,1,632.5095413926925,905.1792401454809,627.0804473852188,896.7480425344523
345,1,632.5617214860455,905.1594995463978,627.0323413084249,896.8147805260699
346,1,632.6099799923975,905.1277022703623,626.9807221964085,896.8772217983416
